ADDRESS,ANC,BENEFITS,BUS,CITY,CREATED_DATE,DAYS,ENDDATE,GLOBALID,LAST_EDITED_DATE,LATITUDE,LONGITUDE,MAR_ID,MAR_MATCHADDRESS,MD_COUNTY,METRO,NAME,OBJECTID,PARKING,SE_ANNO_CAD_DATA,SOCIAL,STARTDATE,STATE,TIMES,WARD,WEBSITE,X_COORDINATE,Y_COORDINATE,ZIPCODE
"901 23rd St NW, Washington, DC 20052",ANC 2A,SNAP; WIC; Senior FMNP; Produce Plus; FreshMatch,32/ 33/ 36,Washington,1752272575000,Wednesday,,{246C8BCF-0E56-4D37-BBB9-EEC9934A1864},1752272575000,38.90141049,-77.0494665,242383,901 23RD STREET NW,,Orange/Blue/Silver Line: Foggy Bottom-GWU,FRESHFARM Foggy Bottom,9,,,"https://www.instagram.com/freshfarmdc/, https://twitter.com/freshfarmdc",Year round,DC,3:00 PM - 7:00 PM,Ward 2,https://www.freshfarm.org/markets,395709.17,137063.04,20052
"26th & O Street, NW",ANC2E,WIC; WIC FMNP; Senior FMNP; Produce Plus,G2/ D2 & D6,Washington,1752272575000,Wednesday,October,{04397CC9-8C4A-4FAF-952C-5EADEDD3816E},1752272575000,38.90856929,-77.05477716,903449,26TH STREET NW AND O STREET NW,,,Rose Park Farmers Market,10,Some parking available,,Roseparkfarmersmarket,May,DC,3:00 PM - 7:00 PM,Ward 2,https://www.roseparkdc.org,395248.98879354,137857.98796536,20007
5522 Loughboro Road NW,ANC 3D,SNAP; WIC FMNP; Senior FMNP; Produce Plus  We double SNAP; WIC FMNP; and Senior FMNP.,D6/ E4/ M4,Washington,1752272575000,Tuesday,December,{4989EE0F-1884-40CF-9D4D-95800EE841C0},1752272575000,38.93569028,-77.11158827,900428,LOUGHBORO ROAD NW AND MACARTHUR BOULEVARD NW,,,Arcadia Mobile Market at Sibley Hospital,11,Yes,,facebook.com/arcadiafood  instagram.com/arcadiafood,May,DC,11:3 0AM - 2:30 PM,Ward 3,https://www.arcadiafood.org,390325.24763698,140873.13414416,20016
"3426 Connecticut Ave NW, Washington, DC 20008",ANC 3C,SNAP; WIC; Senior FMNP; Produce Plus; FreshMatch,96,Washington,1752272575000,Saturday,December,{BAEA4178-E798-4246-AB7F-2B1D24F8FC8B},1752272575000,38.93488445,-77.05858415,284685,3426 CONNECTICUT AVENUE NW,,Red Line: Cleveland Park,FRESHFARM Cleveland Park,12,,,"https://www.instagram.com/freshfarmdc/, https://twitter.com/freshfarmdc",April,DC,9:00 AM - 1:00 PM,Ward 3,https://www.freshfarm.org/markets,394920.67,140779.36000000002,20008
"3000 Cathedral Ave NW, Washington, DC",ANC 3C,SNAP at single farmer/vendor; WIC; WIC FMNP; Senior FMNP; Produce Plus,96/ L2,Washington,1752272575000,Saturday,,{56014C92-BED5-4DF6-9D35-27819562BB02},1752272575000,38.9282529,-77.06074709,220176,3000 CATHEDRAL AVENUE NW,,Red Line: Woodley Park-Zoo/Adams Morgan,Maret School Farmers Market,13,Yes,,Twin Springs Fruit Farm facebook,year round,DC,9:00 AM - 1:00 PM,Ward 3,https://www.twinspringsfruitfarm.com,394732.65,140043.36000000002,20008
4400 36th St NW DC 20008,ANC 3F,SNAP; WIC; Senior FMNP; Produce Plus,,Washington,1752272575000,Saturdays June - mid-March,March,{CA8D87E5-92C8-4EC3-8C7E-5193F97EAAAA},1752272575000,38.94676306,-77.07053019,221854,4400 36TH STREET NW,,"Red Line: Van Ness-UDC, Tenleytown- AU",New Morning Farm at Sheridan School (SAT),14,Parking Available,,#newmorningfarm,May,DC,8:00 AM - 1:00 PM,Ward 3,https://www.newmorningfarm.net,393885.95,142098.76,20008
4400 36th St NW DC 20008,ANC 3F,SNAP; WIC; Senior FMNP; Produce Plus,,Washington,1752272575000,Tuesdays June-Sept,September,{EDFB88D2-79AB-4B86-B570-00CB14EA5A92},1752272575000,38.94676306,-77.07053019,221854,4400 36TH STREET NW,,"Red Line: Van Ness-UDC, Tenleytown- AU",New Morning Farm at Sheridan School (TUE),15,Parking Available,,#sheridanSchool #newmorningfarm #sheridanmarket,June,DC,3:00 PM - 7:00 PM,Ward 3,https://www.newmorningfarm.net,393885.95,142098.76,20008
"MacArthur Blvd and 48th Place, NW",ANC 3D,SNAP at single farmer/vendor; WIC,D6,Washington,1752272575000,Sunday,,{508E432A-9D61-4C73-B94D-57EFFE7A28A6},1752272575000,38.91745542,-77.09668447,905043,48TH PLACE NW AND MACARTHUR BOULEVARD NW,,,Palisades Farmers Market,16,Parking Available,,,year round,DC,9:00 AM - 1:00 PM,Ward 3,https://palisadesdc.org/farmers-market/,391615.26895017,138847.43663828,20007
"UDC Main Campus, UDC/Van Ness Metro station",ANC 3F,SNAP market level; WIC; WIC FMNP; Senior FMNP; Produce Plus,,Washington,1752272575000,Saturday,November,{86E03DF5-B7FD-48C0-A3FF-1BAC3CA210BA},1752272575000,38.9441205,-77.06440497,297694,4200 CONNECTICUT AVENUE NW,,Red Line: Van Ness-UDC,UDC Van Ness Farmers Market,17,,,,April,DC,9:00 AM - 1:00 PM,Ward 3,https://www.facebook.com/udcvnmarket,394416.72000000003,141805.02,20008
"5501 Colorado Ave NW, Washington, DC 20011",ANC 4E,SNAP; WIC; Senior FMNP; Produce Plus; FreshMatch,E4/ 52/ 54/ D34,Washington,1752272575000,Saturday,November,{436BC8E1-B487-4799-A04B-865641194C0F},1752272575000,38.95635765,-77.03284672,285216,5501 COLORADO AVENUE NW,,,FRESHFARM Uptown,18,,,"https://www.instagram.com/freshfarmdc/, https://twitter.com/freshfarmdc",April,DC,9:00 AM - 1:00 PM,Ward 4,https://www.freshfarm.org/markets,397153,143161.96,20011
