osm_id,osm_type,name,lat,lon,city,state,postcode,website,opening_hours
2160492080,node,Farmers Market,33.5343432,-86.843964,,AL,,,
2231183577,node,River Market,33.2165387,-87.562781,,AL,,,
2758779531,node,Northport Farmers Market,33.2203636,-87.5976108,,AL,,,
3419726842,node,Selma Curb Market,32.400577,-87.0157825,,AL,,,
5553315034,node,Irondale Market,33.5403004,-86.7034751,Irondale,AL,35210,https://www.facebook.com/pg/IrondaleMarket/,Mo-Sa 10:00-18:00
10170742506,node,Farmer's Market,32.634111,-85.4106411,,AL,,,
221417342,way,Limestone County Farmers Market,34.801025,-86.9741223,Athens,AL,35611,https://limestonecounty-al.gov/limestone-county-farmers-market/,May-Nov unknown; Dec-Apr closed
445836679,way,Florence Lauderdale Farmer's Market,34.8392228,-87.6750023,Florence,AL,35630,,
480942878,way,Morgan County-Decatur Farmer's Market,34.6009549,-86.986905,Decatur,AL,35601,http://www.decaturfarmersmarket.org/,
562805621,way,Decatur Morgan County Farmer's Market,34.6008316,-86.9868891,,AL,,,
600868916,way,Marketplatz Farmer's Market,34.1791188,-86.8441363,,AL,,,
897680076,way,Oakwood Farms Market,34.7511901,-86.6471833,,AL,,,
935015917,way,Springville Farmers Market,33.7751593,-86.4721617,Springville,AL,35146,,
3721787053,node,Birch Hill Market,64.869234,-147.6700384,,AK,,,
7567276797,node,Spenard Farmers Market,61.197464,-149.904849,Anchorage,AK,99503,https://www.facebook.com/spenardfarmersmarket/,Sa 09:00-14:00
10019479239,node,Midtown Anchorage Farmers Market,61.1914309,-149.864832,Anchorage,AK,99508,https://anchoragemidtownfarmersmarket.com/,
10019479240,node,Pena Park Market,61.2263346,-149.72977,Anchorage,AK,99504,https://www.facebook.com/PenaParkMarket/,
10019479241,node,South Anchorage Farmers Market,61.1201084,-149.86067,Anchorage,AK,99515,https://www.safm.org/,
10019479242,node,Muldoon Farmers Market,61.2088663,-149.732625,Anchorage,AK,99504,https://muldoonfarmersmarket.org/,
10019479243,node,Eagle River Farmers Market,61.3301019,-149.570095,Eagle River,AK,99577,https://dnr.alaska.gov/ag/Marketing/FarmersMarkets2016.pdf,
10019479244,node,Eagle River Farmers Market,61.3157311,-149.572063,Eagle River,AK,99577,https://dnr.alaska.gov/ag/Marketing/FarmersMarkets2016.pdf,
10019479245,node,Grow North Farm,61.2245063,-149.814339,anchorage,AK,99508,https://anchoragelandtrust.org/grow-north-farm/,
10574097660,node,ANC Market Social,61.2170582,-149.892757,Anchorage,AK,99501,https://anchoragedowntown.org/anc-market-social/,
10574097661,node,Anchorage Farmers Market,61.2081259,-149.880815,Anchorage,AK,99501,https://www.anchoragefarmersmarket.org/our-vendors/,
10574097662,node,Girdwood Farmers Market,60.9632543,-149.135,Anchorage,AK,99587,https://www.girdwoodlandtrust.org/into-the-woods-market,
212666169,way,Homer Community Market,59.6374481,-151.5138607,,AK,,,
627012478,way,Delta Junction Farmer's Market,64.0357037,-145.729894,,AK,,,
944425914,way,Tanana Valley Farmers Market,64.8629397,-147.7824251,Fairbanks,AK,99708,https://www.tvfmarket.com/,
2602832671,node,Tempe Farmers Market,33.4216362,-111.9440443,Tempe,AZ,85281,https://www.tempefarmersmarket.com/,
5133838329,node,Sierra Vista Farmers Market,31.555643,-110.266665,,AZ,,http://www.sierravistafarmersmarket.com/,Th 10:00-14:00; Nov Th[4]  off
6219069339,node,Farmers' Market,31.574798,-111.3297946,,AZ,,,
6454741065,node,San Tan Valley Farmers Market,33.2769603,-111.5417165,,AZ,,http://santanvalleyfarmersmarket.com/,Sa[2] 07:00+
6454741069,node,Oro Valley Farmers Market,32.4060434,-110.9503645,,AZ,,https://www.heirloomfm.org/markets/oro-valley/,Apr-Sep Sa 08:00-12:00; Oct-Mar Sa 09:00-13:00
6454741070,node,Oracle Farmers Market,32.6257814,-110.7906872,,AZ,,,Sa 09:00-12:00
6454742703,node,Casa Grande Farmers Market,32.8782773,-111.7527808,,AZ,,https://www.farmersmarketonline.com/fm/CasaGrandeFarmersMarket.html,Tu 09:00-15:00
7383097521,node,Sprouts Farmers Market,35.1854079,-111.6592948,Flagstaff,AZ,86001,,
7630435780,node,Oak Creek Overlook Vista Native American Crafts Market,35.0296977,-111.7335856,,AZ,,https://nacainc.org/oak-creek-overlook.html,
8923613154,node,Roadrunner Farmers Market,33.597369,-112.0065084,,AZ,,https://arizonacommunityfarmersmarkets.com/roadrunner-farmers-mkt,Sa 07:00-11:00
9307451476,node,The Wedge Pizza and Market,35.188603,-111.6549219,Flagstaff,AZ,86011,,"Mo-Fr 09:00-22:00; Sa,Su 18:00-22:00"
10286604461,node,Market Monarca,33.3781387,-112.0811089,,AZ,,,
10780808502,node,CBD & Wellness Market,33.6235333,-111.8970288,,AZ,,,
12327820406,node,Cecilia's Market,33.4219747,-111.8200072,,AZ,,,
12592425986,node,Grandma’s Farm,33.3654586,-112.1009255,Phoenix,AZ,85041,http://www.farmingwithgrandma.com,
257051292,way,Gilbert Farmers Market,33.3537537,-111.7905894,,AZ,,,
