osm_id,osm_type,name,lat,lon,street,city,state,postcode,opening_hours,website,phone,facebook,wikidata,source
1361746641,node,,30.5742658,-85.1278831,,,,,,,,,,
1454839975,node,Gator Plaza,25.6829881,-80.3134484,South Dixie Highway,Miami,FL,33156,,,,,,
1549866134,node,Loft Sofa - Modern Furniture Store,25.8006545,-80.189224,,,,,,,,,,
1615944972,node,,27.4605883,-82.5701248,,,,,,,,,,
1924784930,node,Chiefland Farmers Flea Market,29.4905916,-82.8644475,Northwest 11th Avenue,Chiefland,FL,32626,,,+1-352-493-2022,,,
1933971744,node,Weeks Flea Market,29.620655,-82.6571372,SE 90th Ave,Newberry,FL,32669,,,,,,
1947088079,node,,30.3232018,-81.4007593,Atlantic Boulevard,Neptune Beach,,32266,,,,,,
2273259029,node,5 Diamond Delicacies,25.7737416,-80.1407679,,,,,,,,,,
2290635632,node,McCraken Farms,27.5376793,-81.4487845,,,,,,,,,,
2389087357,node,Swap Shop Florida,26.1368697,-80.1921279,,,,,,,,,,
2614718300,node,THE BOAT HOUSE,26.9635546,-82.0753302,,,,,,,,,,ADDRESS
3233769733,node,Upper East Side Farmers Market,25.8366339,-80.1840315,,,,,Sa 09:00-14:00,,,,,
3367320325,node,PK Oriental Mart,25.7022465,-80.3483154,,,,,,,,,,
3664821988,node,,29.4767492,-82.8590779,,,,,"closed;Sep-Jun Sa[2,4] 08:00-13:00",,,,,
3669389543,node,Riverside Arts Market,30.3162294,-81.6750606,,,,,Sa 10:00-15:00,,,,,
4186596371,node,The corner Store,28.0163421,-82.1228003,,,,,,,,,,
4237990573,node,Live Oak Flea Market,30.2826109,-82.9497972,,,,,Fr-Su 08:00-17:00,,,,,
4608877545,node,Farm Market,28.237937,-81.2109926,,,,,Sa 10:00-13:00,http://www.osceolacountygrown.com/,,,,
4852402689,node,Bauernmarkt: Farmer's Market,28.3684426,-81.5468528,,,,,Mar 01-May 29 unknown,,,,,
5066242136,node,Renninger's Flea Market,28.1151529,-80.7079349,West Eau Gallie Road,Melbourne,FL,32934,,,,,,
5416754908,node,Big Pine Flea Market,24.6683454,-81.3589807,"30250 Overseas Hwy, Big Pine Key, FL 33043, USA",,,,"Sa, Su 08:00-14:00",https://www.bigpinefleamarket.com,,,,
5788289985,node,Asian Market,30.759049,-86.5695962,Woodruff Avenue East,Crestview,FL,,,,,,,
6019671530,node,Mima Market,25.8650703,-80.1933412,Northeast 2nd Avenue,Miami Shores,FL,33138,,,,,,
6342353386,node,Celebration Farmers Market,28.3187143,-81.5407514,Market Street,Celebration,FL,34747,Su 09:00-14:00,https://www.celebrationfarmersmarket.com/,,,,
6530476861,node,Farmers Market Oceanside,27.6494553,-80.3557959,,,,,Sa 08:00-12:00,,,,,
6712640521,node,Baum Ave market,27.7713149,-82.6505292,Central Avenue,Saint Petersburg,FL,33705,Mo-Su 09:00-20:00,https://baumavemarket.com/,,,,
7490456369,node,Ramona Flea Market,30.3142918,-81.7646551,Ramona Boulevard,Jacksonville,FL,32205,,https://www.ramonaflea.com/,,,,
7838457936,node,Front Porch Pickings,30.3062368,-81.7019171,South McDuff Avenue,Jacksonville,FL,32205,,http://www.frontporchpickings.com/,,,,
8007791766,node,Grove Street Farmers Market,29.6614456,-82.3279935,Northwest 4th Street,Gainesville,FL,32601,Mo 16:00-19:00,https://www.grovestreetfarmersmarket.com/,,,,
8007791767,node,GNV Market,29.6460704,-82.3243336,South Main Street,Gainesville,FL,32601,Th 16:00-19:00,,,,,
8579395984,node,,26.4801543,-82.1804418,,,,,,,,,,
8608676631,node,Bob's Blueberry Farm,28.363556,-82.6288699,,,,,,,,,,
8641430915,node,Oak Hill Flea Market,28.8770415,-80.852316,North US Highway 1,Oak Hill,,32759,,,,,,
