osm_id,osm_type,name,lat,lon,street,city,state,postcode,opening_hours,website,phone,facebook,wikidata,source
787698703,node,Flea Market,30.6985162,-88.2266101,,,AL,,,,,,,
1910739156,node,Oyster House Boardwalk,30.2542228,-87.6892361,Gulf Shores Parkway,Gulf Shores,AL,36542,,,,,,
1910771429,node,The Shoppes at Pelican Place,30.3019021,-87.681211,,,AL,,,,,,,
1910869697,node,Summerdale Flea Market,30.474672,-87.7072176,,,AL,,,,,,,
2152742757,node,Moundville Flea Market,33.0177117,-87.5992409,,,AL,,,,,,,
2160492080,node,Farmers Market,33.5343432,-86.843964,,,AL,,,,,,,
2231183577,node,River Market,33.2165387,-87.562781,Jack Warner Pkwy,,AL,,,,,,,http://www.facebook.com/TuscaloosaFarmersMarket
2443447713,node,True Value,31.5345414,-87.8899166,,,AL,,,,,,,
2443519673,node,Sears,31.5587528,-87.8771734,,,AL,,,,,,,
2758779531,node,Northport Farmers Market,33.2203636,-87.5976108,,,AL,,,,,,,
3419726842,node,Selma Curb Market,32.400577,-87.0157825,,,AL,,,,,,,
4237872907,node,Patton Creek Shopping Center,33.3745911,-86.815274,Creekside Avenue,Hoover,AL,35244,,,,,,
4567912372,node,Treasure Box Indoor Flea Market,32.4377122,-87.0202082,,,AL,,,,,,,
4569662167,node,Selma Outdoor Flea Market,32.3984415,-86.9912588,,,AL,,,,,,,
4573797642,node,June Bug Flea Market,32.4299841,-87.0190854,,,AL,,,,,,,
4573884329,node,Cash & Carry Wholesale,32.4323105,-87.0411027,,,AL,,,,,,,
5553315034,node,Irondale Market,33.5403004,-86.7034751,1st Avenue South,Irondale,AL,35210,Mo-Sa 10:00-18:00,https://www.facebook.com/pg/IrondaleMarket/,+1-205-224-4233,,,
5712092874,node,Warrior Flea Market,33.8148737,-86.8270528,,,AL,,,,,,,
5850974527,node,Meat Mart,30.2907296,-87.6071199,Easy Street,Orange Beach,AL,36561,,,,,,
8991520652,node,Backcountry Bargains Flea Market,34.4892481,-87.6741654,AL 24,Russellville,AL,35654,,,+1 256 627 8711,backwoodsbargains24,,
10170742506,node,Farmer's Market,32.634111,-85.4106411,,,AL,,,,,,,
11767968591,node,Mi Pueblo Latino,30.6382616,-88.1416897,,,AL,,,,,,,
11964788074,node,,33.7076569,-86.5174914,,,AL,,,,,,,
12145050174,node,Americas Best Value Inn,34.1148114,-87.9889199,,,AL,,,,,,,
12145107142,node,Hamilton Water Department,34.1334144,-87.9910855,736 Military St S,Hamilton,AL,,,https://hamiltoncityal.org/,2059217484,,,
12145113174,node,Dollar General,34.1407045,-87.9813695,,,AL,,,,,,,
221417342,way,Limestone County Farmers Market,34.801025,-86.9741223,Green Street West,Athens,AL,35611,May-Nov unknown; Dec-Apr closed,https://limestonecounty-al.gov/limestone-county-farmers-market/,,,,
445836679,way,Florence Lauderdale Farmer's Market,34.8392228,-87.6750023,Fairground Road,Florence,AL,35630,,,,,,
479918437,way,Weekend Flea Market,34.849149,-86.9734206,,,AL,,,,,,,
480942878,way,Morgan County-Decatur Farmer's Market,34.6009549,-86.986905,1st Avenue Southeast,Decatur,AL,35601,,http://www.decaturfarmersmarket.org/,,,,
486881089,way,Flea Market,32.5633798,-85.1239496,,,AL,,,,,,,
562805621,way,Decatur Morgan County Farmer's Market,34.6008316,-86.9868891,,,AL,,,,,,,
600849791,way,Warrior Flea Market,33.8149339,-86.8270878,,,AL,,,,,,,
600868916,way,Marketplatz Farmer's Market,34.1791188,-86.8441363,,,AL,,,,,,,
884952294,way,Collinsville Trade Day,34.2514002,-85.8724251,,,AL,,,,,,,
897680076,way,Oakwood Farms Market,34.7511901,-86.6471833,,,AL,,,,,,,
915660366,way,,32.7044564,-87.5967583,,,AL,,,,,,,
933021454,way,AT&T Store,34.1187175,-87.9892078,,,AL,,,,,,,
935015917,way,Springville Farmers Market,33.7751593,-86.4721617,US Highway 11,Springville,AL,35146,,,,,,
1259559929,way,Margaret Flea Market,33.6880195,-86.4721616,,,AL,,,,,,,
1312111196,way,Autozone,34.1202095,-87.9901523,,,AL,,,,,,,
1312111197,way,Harbor Freight Tools,34.1222695,-87.9916861,,,AL,,,,,,,
1312111198,way,Tractor Supply Company,34.1233315,-87.9916128,,,AL,,,,,,,
1312111202,way,Pioneer Quick Lubes,34.1406996,-87.988708,,,AL,,,,,,,
1312111204,way,Food Mart,34.1404248,-87.9887959,,,AL,,,,,,,
1312111205,way,Barber Shop,34.14194,-87.988539,,,AL,,Mo-Fr 07:00-15:00; Sa 07:00-11:00; PH off,,,,,
1312111208,way,Dollar General,34.1274848,-87.989109,,,AL,,,,,,,
1312114738,way,Quality Inn,34.0926609,-88.0069852,224 River Rd Dr,Hamilton,AL,,,https://www.choicehotels.com/,2059213333,,,
1312114742,way,Tombigbee Electric Co-Op,34.0892446,-88.0092833,3196 Co Rd 55,Hamilton,AL,,,https://tombigbee.org/,+1-205-921-6712,,,
1312115921,way,Marion County Department of Human Resources,34.1505811,-87.9590864,760 Industrial Dr,,AL,,,,2059216000,,,
1347148697,way,Mountain Top Flea Market,34.0484465,-86.1822203,US 278 W,Atalla,AL,35954,Su 05:30-16:00,https://www.mountaintopfleamarket.net,256-601-7190,https://www.facebook.com/MountainTop-Flea-Market-107771791420655,,
1368825949,way,M & J Groceries,30.7279331,-88.0833163,,,AL,,,,,,,
1741025259,node,Lakeview Mall,59.6467305,-151.5232952,,,AK,,,,,,,
3721787053,node,Birch Hill Market,64.869234,-147.6700384,,,AK,,,,,,,
7567276797,node,Spenard Farmers Market,61.197464,-149.904849,Spenard Road,Anchorage,AK,99503,Sa 09:00-14:00,https://www.facebook.com/spenardfarmersmarket/,(907) 240-3868,,,
8990627383,node,Anchorage Market at Dimond Center,61.1416002,-149.86837,East Dimond Boulevard,Anchorage,AK,99515,"Fr-Sa 10:00-18:00, Su 10:00-17:00",https://anchoragemarkets.com/anchorage-market/,1-907-272-5634,,,
10019479238,node,Center Market,61.1941982,-149.873594,East Northern Lights Boulevard,Anchorage,AK,99503,,https://centermarketak.com/,(907) 355-3276,,,
10019479239,node,Midtown Anchorage Farmers Market,61.1914309,-149.864832,Benson Blvd.,Anchorage,AK,99508,,https://anchoragemidtownfarmersmarket.com/,,,,
10019479240,node,Pena Park Market,61.2263346,-149.72977,Starview Dr.,Anchorage,AK,99504,,https://www.facebook.com/PenaParkMarket/,,,,
10019479241,node,South Anchorage Farmers Market,61.1201084,-149.86067,O'Malley Centre Drive,Anchorage,AK,99515,,https://www.safm.org/,,,,
10019479242,node,Muldoon Farmers Market,61.2088663,-149.732625,Muldoon Road,Anchorage,AK,99504,,https://muldoonfarmersmarket.org/,,,,
10019479243,node,Eagle River Farmers Market,61.3301019,-149.570095,Business Boulevard,Eagle River,AK,99577,,https://dnr.alaska.gov/ag/Marketing/FarmersMarkets2016.pdf,,,,
10019479244,node,Eagle River Farmers Market,61.3157311,-149.572063,Eagle River Road,Eagle River,AK,99577,,https://dnr.alaska.gov/ag/Marketing/FarmersMarkets2016.pdf,,,,
10019479245,node,Grow North Farm,61.2245063,-149.814339,Mountain View Drive,anchorage,AK,99508,,https://anchoragelandtrust.org/grow-north-farm/,,,,
10574097660,node,ANC Market Social,61.2170582,-149.892757,West 5th Avenue,Anchorage,AK,99501,,https://anchoragedowntown.org/anc-market-social/,(907) 279-5620,,,
10574097661,node,Anchorage Farmers Market,61.2081259,-149.880815,Cordova Street,Anchorage,AK,99501,,https://www.anchoragefarmersmarket.org/our-vendors/,,,,
10574097662,node,Girdwood Farmers Market,60.9632543,-149.135,Holmgren Avenue,Anchorage,AK,99587,,https://www.girdwoodlandtrust.org/into-the-woods-market,,,,
203233600,way,Point of View Mall,59.6443263,-151.5245259,Lake Street,Homer,AK,,,,,,,
212666169,way,Homer Community Market,59.6374481,-151.5138607,,,AK,,,,,,,
627012478,way,Delta Junction Farmer's Market,64.0357037,-145.729894,,,AK,,,,,,,
944425914,way,Tanana Valley Farmers Market,64.8629397,-147.7824251,College Road,Fairbanks,AK,99708,,https://www.tvfmarket.com/,+1-907 456-3276,http://www.facebook.com/pages/Fairbanks-AK/Tanana-Valley-Farmers-Market/78795645885,,
1024666152,way,Friday Fling,61.5984448,-149.114145,South Valley Way,Palmer,AK,99645,Fr 11:00-17:00,https://www.palmerchamber.org/fridayfling/,,,,
1180989502,way,Kenai Center,60.5555491,-151.2554231,,,AK,,,,,,,
197013228,node,Phoenix Park ‘N Swap,33.446986,-111.9981363,East Washington Street,Phoenix,AZ,,"We 16:00-22:00; Fr 06:00-12:00; Sa, Su 06:00-16:00",https://phoenixparknswap.com/,+1-602-273-1250,,,
1231667830,node,,32.2477489,-110.9347031,,,AZ,,,,,,,
1595603085,node,Swap meet (Wednesdays),36.7030171,-110.2428939,,,AZ,,,,,,,
1642742304,node,Desert Ridge Marketplace,33.6774607,-111.9726886,,,AZ,,,,,,,
2602832671,node,Tempe Farmers Market,33.4216362,-111.9440443,South Farmer Avenue,Tempe,AZ,85281,,https://www.tempefarmersmarket.com/,+1 480 557 9970,,,
3789357774,node,Tortolita Self Storage,32.4434253,-111.0807524,,,AZ,,,,,,,
3789379933,node,Solana Outdoor Living,32.4260496,-111.045989,,,AZ,,,,,,,
3793072319,node,Eddie's Towing,32.454955,-111.2164053,,,AZ,,,,,,,
3795313305,node,Vitality Physical Therapy,31.9612698,-110.984295,,,AZ,,,,,,,
3795313306,node,Long Realty,31.9612744,-110.9844291,,,AZ,,,,,,,
3796208801,node,Green Valley Canine,31.8853152,-111.0041594,,,AZ,,,,,,,
3796208803,node,Acra Construction LLC (General Contractor),31.8856159,-111.0052618,,,AZ,,,,,,,
3796208805,node,Asuza Flooring Supplies,31.8854199,-111.0047569,,,AZ,,,,,,,
3798795620,node,Long Realty,32.3743673,-111.1264052,,,AZ,,,,,,,
3798795621,node,Good Will,32.374322,-111.1261088,,,AZ,,,,,,,
4357676022,node,Mall of Peddlers,33.4124296,-111.5490723,West Apache Trail,Apache Junction,AZ,85120,,,,,,
4394454135,node,Monterey Court,32.2606068,-110.9804641,,,AZ,,,,,,,
5084582027,node,Bowie Community Swap Meet,32.32649,-109.4892941,,,AZ,,Sa 09:00-12:00,,,,,
5133838329,node,Sierra Vista Farmers Market,31.555643,-110.266665,,,AZ,,Th 10:00-14:00; Nov Th[4]  off,http://www.sierravistafarmersmarket.com/,+1 520 732 0350,,,
5173973891,node,Lynx Lake Store & Marina,34.5217969,-112.388227,,,AZ,,,,,,,
5383648590,node,Poly Marketplace,33.3079301,-111.6764426,,,AZ,,,https://sundevildining.asu.edu/hours-locations/polytechnic/poly-marketplace,,,,
5483286308,node,Goodwill,33.0661974,-112.0444589,North John Wayne Parkway,Maricopa,AZ,85138,,,,,,
6219069339,node,Farmers' Market,31.574798,-111.3297946,,,AZ,,,,,,,
6454741065,node,San Tan Valley Farmers Market,33.2769603,-111.5417165,,,AZ,,Sa[2] 07:00+,http://santanvalleyfarmersmarket.com/,+1 480 788 3648,,,
6454741069,node,Oro Valley Farmers Market,32.4060434,-110.9503645,,,AZ,,Apr-Sep Sa 08:00-12:00; Oct-Mar Sa 09:00-13:00,https://www.heirloomfm.org/markets/oro-valley/,,,,
6454741070,node,Oracle Farmers Market,32.6257814,-110.7906872,,,AZ,,Sa 09:00-12:00,,,,,
6454742703,node,Casa Grande Farmers Market,32.8782773,-111.7527808,,,AZ,,Tu 09:00-15:00,https://www.farmersmarketonline.com/fm/CasaGrandeFarmersMarket.html,,,,
7383097521,node,Sprouts Farmers Market,35.1854079,-111.6592948,South Riordan Ranch Street,Flagstaff,AZ,86001,,,,,,
7630435780,node,Oak Creek Overlook Vista Native American Crafts Market,35.0296977,-111.7335856,,,AZ,,,https://nacainc.org/oak-creek-overlook.html,+1-928-526-2968,,,
7831029469,node,Barnone AZ,33.3217534,-111.7267067,,,AZ,,,,,,,
7895682540,node,Park Lucero,33.2793583,-111.7844195,,,AZ,,,,,,,
8759232070,node,The Third and Survey Shopping Society,31.7109892,-110.0696918,South 3rd Street,Tombstone,AZ,85638,,,,,,
8923613154,node,Roadrunner Farmers Market,33.597369,-112.0065084,,,AZ,,Sa 07:00-11:00,https://arizonacommunityfarmersmarkets.com/roadrunner-farmers-mkt,,,,
9029738299,node,Globe Swap Meet,33.3840846,-110.7572293,,,AZ,,Fr-Su,,,,,
9307451476,node,The Wedge Pizza and Market,35.188603,-111.6549219,South Knoles Drive,Flagstaff,AZ,86011,"Mo-Fr 09:00-22:00; Sa,Su 18:00-22:00",,,,,
10286604461,node,Market Monarca,33.3781387,-112.0811089,,,AZ,,,,,,,
10780808502,node,CBD & Wellness Market,33.6235333,-111.8970288,,,AZ,,,,,,,
12202942026,node,,33.7387734,-112.4823947,,,AZ,,,,,,,
12202942037,node,,33.7401811,-112.4815558,,,AZ,,,,,,,
12327820406,node,Cecilia's Market,33.4219747,-111.8200072,,,AZ,,,,,,,
12588992617,node,Amadio Ranch,33.3625903,-112.1609927,West Dobbins Road,Laveen,AZ,,,https://amadioranch.com,,,,
12592425986,node,Grandma’s Farm,33.3654586,-112.1009255,South 19th Avenue,Phoenix,AZ,85041,,http://www.farmingwithgrandma.com,,,,
211707787,way,Mesa Market Place Swap Meet,33.3825765,-111.6052045,,,AZ,,,,,,,
232590296,way,St. Philip's Plaza,32.2850552,-110.9430593,North Campbell Avenue,Tucson,AZ,85718,,,,,,
257051292,way,Gilbert Farmers Market,33.3537537,-111.7905894,,,AZ,,,,,,,
275407797,way,Lakeside Market,31.4943671,-110.8550376,,,AZ,,,,,,,
388166615,way,Tuba City Flea Market/Swap Meet,36.1253752,-111.2306212,,,AZ,,,,,,,
452149292,way,Old Town Artisans,32.2242648,-110.9742847,,,AZ,,,,,,,
477788264,way,Arizona Market Place,32.6661923,-114.5618991,South Avenue 4 E,Yuma,AZ,85365,Th-Su 09:00-16:00; Mo-We closed,http://www.arizonamkt.com/,+1 (928) 328 1088,,,Bing
494477135,way,Big D's Market,33.0532845,-110.9161294,,,AZ,,,,,,,
522299943,way,Bull Market,34.4358517,-109.6331833,,,AZ,,,,,,,
642712484,way,Teec Nos Pos Trading Post,36.920136,-109.0839325,US 64,Teec Nos Pos,AZ,86514,,https://teectrading.wixsite.com/teectrading,+1-928-656-3224,,,
721491784,way,Patagonia Market,31.5413779,-110.7531157,West Naugle Avenue,Patagonia,AZ,85624,Mo-Su 04:00-20:00,,,,,esri/USA_NAD_Addresses
745242152,way,Apache Trail Swap Meet,33.4157883,-111.6270515,East Main Street,Mesa,AZ,85207,Fr-Su 08:00-16:00,,+1-480-220-1915,,,
760560505,way,Main Street Grocery,32.458399,-111.217779,North Sandorio Road,Marana,AZ,85653,Mo-Sa 08:15-19:30; Su 09:00-18:00,,+15206386671,,,
769168023,way,El Tianguis Mercado,33.363101,-111.962394,South Avenida del Yaqui,Tempe,AZ,85283,,,,,,
785982895,way,Down East,33.7089083,-112.2757127,North Lake Pleasant Parkway,Peoria,AZ,85383,,,,,,esri/USA_NAD_Addresses
803728669,way,Flea Market,36.1034762,-110.2251079,,,AZ,,,,,,,
1097148296,way,Freeman Farms,33.4326703,-111.8297755,,,AZ,,,,,,,
1272068131,way,Main Street Patio,32.2517875,-109.8325576,South Haskell Avenue,Willcox,AZ,85643,,,,https://www.facebook.com/mainstreetpatio/,,
1287891859,way,Foothills Community Markets,32.3387364,-111.014341,,,AZ,,,https://foothillscommunitymarket.com/,,,,
1391464093,way,AAFES,31.565866,-110.337378,,,AZ,,,,,,,microsoft/BuildingFootprints;Bing
