Record ID,Store Name,Store Type,Street Number,Street Name,Additional Address,City,State,Zip Code,Zip4,County,Latitude,Longitude,Authorization Date,End Date
1096559,Anchorage Farmers Market,Farmers' Market,1420,Cordova St,,Anchorage,AK,99501,5231,ANCHORAGE,61.20841,-149.87924,04/10/2013,11/29/2024
1461199,Grow North Farm,Farmers' Market,3601,Mountain View Dr,,Anchorage,AK,99508,1113,ANCHORAGE,61.224613,-149.81401,07/01/2021,05/24/2023
1545917,Grow North Farm,Farmers' Market,3601,Mountain View Dr,,Anchorage,AK,99508,1113,ANCHORAGE,61.224293,-149.81395,05/25/2023,
1242968,Mountain View Farmers' Market,Farmers' Market,3543,Mountain View Dr,,Anchorage,AK,99508,1111,ANCHORAGE,61.224155,-149.81465,05/23/2016,11/23/2020
1049609,South Anchorage Farmers Market,Farmers' Market,11111,Omalley Centre Dr,,Anchorage,AK,99515,3070,ANCHORAGE,61.11995,-149.86162,04/26/2012,05/31/2017
999998,Spenard Farmers Market,Farmers' Market,1025,Photo Ave,,Anchorage,AK,99503,3774,ANCHORAGE,61.19441,-149.9031,05/03/2011,08/08/2016
1000577,Fairbanks Downtown Market,Farmers' Market,,1st Avenue,Golden Heart Plaza,Fairbanks,AK,99701,,FAIRBANKS NO STAR,64.84462,-147.72728,05/06/2011,08/08/2016
1238164,Funny Farm Feed Folks,Farmers' Market,505,Herning Rd,,Fairbanks,AK,99712,2921,FAIRBANKS NO STAR,64.88102,-147.4393,02/23/2016,09/20/2019
1056288,North Pole Farmers Maket,Farmers' Market,2855,Hurst Rd,,North Pole,AK,99705,7536,FAIRBANKS NO STAR,64.76241,-147.3566,05/21/2012,12/26/2016
1193400,Southside Community Farmers Market,Farmers' Market,,25th Ave,front lawn of Intercultural assemply of,Fairbanks,AK,99701,7006,FAIRBANKS NO STAR,64.82435,-147.73909,04/30/2015,09/20/2019
1145283,Tanana Valley Farmers Market,Farmers' Market,2600,College Rd,,Fairbanks,AK,99709,3723,FAIRBANKS NO STAR,64.862465,-147.78175,05/07/2014,
1402637,Haines Farmers Market,Farmers' Market,296,Fair Dr,,Haines,AK,99827,,HAINES,59.231964,-135.466,04/20/2020,11/29/2024
1097285,Anchor Point Saterday Farmers Market,Farmers' Market,70961,Sarah Ln,,Anchor Point,AK,99556,9321,KENAI PENINSULA,59.794003,-151.79416,05/07/2013,03/16/2018
1238390,Cool Cache Farms,Farmers' Market,47110,Autumn Rd,,Kenai,AK,99611,9600,KENAI PENINSULA,60.66836,-151.3404,02/29/2016,09/20/2019
1238393,Dandelion Acres,Farmers' Market,4412,N Dogwood Rd,,Kenai,AK,99611,8443,KENAI PENINSULA,60.56358,-151.10245,02/24/2016,09/20/2019
1281252,Farmer's Fresh Market 1,Farmers' Market,33955,Community College Dr,,Soldotna,AK,99669,9235,KENAI PENINSULA,60.47266,-151.13426,04/24/2017,09/20/2019
1238514,Farmers Fresh Market,Farmers' Market,33955,Community College Dr,,Soldotna,AK,99669,9235,KENAI PENINSULA,60.47266,-151.13426,02/29/2016,04/23/2017
986119,Homer Farmers Market,Farmers' Market,,Intersection of Ocean Dr and Lake Shore,,Homer,AK,99603,,KENAI PENINSULA,59.63762,-151.51736,05/12/2011,
1238381,Black Bear Farms,Farmers' Market,12501,E Marsh Rd,,Palmer,AK,99645,8874,MATANUSKA SUSITNA,61.617504,-149.13509,02/24/2016,09/20/2019
1543804,Matanuska Community Farmers Market,Farmers' Market,713,S Denali St,,Palmer,AK,99645,6614,MATANUSKA SUSITNA,61.59842,-149.1078,04/24/2023,
1238531,Talkeetna Grown,Farmers' Market,29430,S Mastodon RD,,Talkeetna,AK,99676,,MATANUSKA SUSITNA,62.26768,-149.94705,02/29/2016,09/20/2019
1103748,Willow Farmers Market,Farmers' Market,Mile 69,Parks Highway,,Willow,AK,99688,,MATANUSKA SUSITNA,61.939247,-150.06372,06/25/2013,05/17/2018
1058940,Sitka Farmers Market,Farmers' Market,235,Katlian St,,Sitka,AK,99835,7502,SITKA,57.050694,-135.3412,07/05/2012,
1282799,Glennallen Wednesday Market,Farmers' Market,187.5,Glenn Highway,,Glennallen,AK,99588,,VALDEZ CORDOVA,62.10782,-145.5192,05/02/2017,09/20/2019
1238312,Dart AM LLC,Farmers' Market,4,Old Elliott HWY,,Manley Hotsprings,AK,99756,,YUKON KOYUKUK,65.00323,-150.63591,02/24/2016,09/20/2019
1397363,Bj Farms,Farmers' Market,27618,US Highway 98,,Elberta,AL,36530,2802,BALDWIN,30.414425,-87.5554,03/14/2020,11/29/2024
1139703,Brent Baty Farms,Farmers' Market,500,New St,,Oneonta,AL,35121,1835,BLOUNT,33.9443,-86.4702,03/20/2014,11/23/2018
