name,city,lat,lon,postcode,accept_snap,website,opening_hours,street,state,source
Harvest Home East Harlem Farmers Market,Manhattan,40.7903,-73.945635,,,,,E. 104th St. & 3rd Ave.,NY,nyc_open_data:8vwk-6iz2
Seeds in the Middle - Flatbush - Hillel Plaza Farm Stand,Brooklyn,40.63262,-73.947439,,,,,Flatbush/Nostrand Triangle,NY,nyc_open_data:8vwk-6iz2
Morris Heights Farmstand,Bronx,40.854567,40.854567,,,,,University Ave. and W. 179th St.,NY,nyc_open_data:8vwk-6iz2
170 Farm Stand,Bronx,40.840138,-73.916591,,,,,1406 Townsend Ave.,NY,nyc_open_data:8vwk-6iz2
JBOLC Garden Community Farmers Market,Bronx,40.882647,-73.886562,,,,,Sedgwick Ave. & Goulden Ave.,NY,nyc_open_data:8vwk-6iz2
Perez Farm Stand,Queens,40.70236,-73.818531,,,,,"134-20 Jamaica Ave., by the Axel Building",NY,nyc_open_data:8vwk-6iz2
7th Ave Sunset Park Greenmarket,Brooklyn,40.645841,-74.002402,,,,,7th Ave. & 44th St.,NY,nyc_open_data:8vwk-6iz2
PS 11 Farm Market,Manhattan,40.744349,-74.000253,,,,,320 W. 21st St.,NY,nyc_open_data:8vwk-6iz2
Astor Place Greenmarket,Manhattan,40.729820,-73.991023,,,,,E. 8th St. & Lafayette,NY,nyc_open_data:8vwk-6iz2
Fresh Vibes Market at Emblem Health,Brooklyn,40.675209,-73.896508,,,,,101 Pennsylvania Ave.,NY,nyc_open_data:8vwk-6iz2
Seeds in the Middle East Flatbush Farm Stand 2,Brooklyn,40.642031,-73.931151,,,,,4801 Ave. D (PS 208),NY,nyc_open_data:8vwk-6iz2
Tribeca Greenmarket,Manhattan,40.716303,-74.010966,,,,,Greenwich & Chambers streets,NY,nyc_open_data:8vwk-6iz2
Eastern Parkway Farm Stand,Brooklyn,40.668787,-73.921582,,,,,1420 Eastern Parkway,NY,nyc_open_data:8vwk-6iz2
Brownsville Pitkin Farmstand,Brooklyn,40.669234,-73.913698,,,,,Pitkin Ave. bet Thomas Boyland and Amboy St.,NY,nyc_open_data:8vwk-6iz2
Ditmars Park Farmstand,Queens,40.772854,-73.906061,,,,,Steinway St. bet Ditmars Blvd. & 23rd Ave.,NY,nyc_open_data:8vwk-6iz2
Carroll Gardens Greenmarket,Brooklyn,40.680761,-73.99552,,,,,Smith & Carroll Sts.,NY,nyc_open_data:8vwk-6iz2
Fort Washington Greenmarket,Manhattan,40.842296,-73.942027,,,,,168th St. & Ft. Washington Ave.,NY,nyc_open_data:8vwk-6iz2
