name,city,lat,lon,postcode,website,opening_hours,street,state,source
FRESHFARM Foggy Bottom,Washington,,,,https://www.freshfarm.org/markets,,"901 23rd St NW, Washington, DC 20052",DC,dc_opendata:Farmers_Market_Locations
Rose Park Farmers Market,Washington,,,,https://www.roseparkdc.org,,"26th & O Street, NW",DC,dc_opendata:Farmers_Market_Locations
Arcadia Mobile Market at Sibley Hospital,Washington,,,,https://www.arcadiafood.org,,5522 Loughboro Road NW,DC,dc_opendata:Farmers_Market_Locations
FRESHFARM Cleveland Park,Washington,,,,https://www.freshfarm.org/markets,,"3426 Connecticut Ave NW, Washington, DC 20008",DC,dc_opendata:Farmers_Market_Locations
Maret School Farmers Market,Washington,,,,https://www.twinspringsfruitfarm.com,,"3000 Cathedral Ave NW, Washington, DC",DC,dc_opendata:Farmers_Market_Locations
New Morning Farm at Sheridan School (SAT),Washington,,,,https://www.newmorningfarm.net,,4400 36th St NW DC 20008,DC,dc_opendata:Farmers_Market_Locations
New Morning Farm at Sheridan School (TUE),Washington,,,,https://www.newmorningfarm.net,,4400 36th St NW DC 20008,DC,dc_opendata:Farmers_Market_Locations
Palisades Farmers Market,Washington,,,,https://palisadesdc.org/farmers-market/,,"MacArthur Blvd and 48th Place, NW",DC,dc_opendata:Farmers_Market_Locations
UDC Van Ness Farmers Market,Washington,,,,https://www.facebook.com/udcvnmarket,,"UDC Main Campus, UDC/Van Ness Metro station",DC,dc_opendata:Farmers_Market_Locations
FRESHFARM Uptown,Washington,,,,https://www.freshfarm.org/markets,,"5501 Colorado Ave NW, Washington, DC 20011",DC,dc_opendata:Farmers_Market_Locations
FRESHFARM Whittier Elementary Farm Stand,Washington,,,,https://www.freshfarm.org/markets,,"6201 5th St NW, Washington, DC 20011",DC,dc_opendata:Farmers_Market_Locations
Petworth Community Market,Washington,,,,https://www.petworthcommunitymarket.org/,,4131-4101 Block 9th St NW Washington DC 20011,DC,dc_opendata:Farmers_Market_Locations
Petworth Corner Market,Washington,,,,,,"Intersection, 8th St & Allison St, Washington, DC 20011",DC,dc_opendata:Farmers_Market_Locations
Arcadia Mobile Market at Edgewood,Washington,,,,https://www.arcadiafood.org,,"Intersection, Evarts Street NE & Edgewood Street NE",DC,dc_opendata:Farmers_Market_Locations
Bloomingdale Farmers Market,Washington,,,,https://www.bloomingdalemarket-dc.com/,,100 Block of R Street NW,DC,dc_opendata:Farmers_Market_Locations
Edgewood Market,Washington,,,,https://dcsquared.org/dc%c2%b2-markets/,,"670 Rhode Island Ave NE, Washington DC 20002",DC,dc_opendata:Farmers_Market_Locations
FRESHFARM Monroe Street,Washington,,,,https://www.freshfarm.org/markets,,"The Arts Walk, 716 Monroe St NE, Washington, DC 20017",DC,dc_opendata:Farmers_Market_Locations
Co-Op Farmers Market,Washington,,,,https://appealinc.wildapricot.org/event-2131254,,"2015 Bunker Hill Rd NE, Washington, DC 20018",DC,dc_opendata:Farmers_Market_Locations
Trinidad Farmers Market,Washington,,,,https://www.trinidadfarmersmarket.net,,"Joseph Cole Community Center Parking Lot 1299 Neal St NE, Washington, DC 20002",DC,dc_opendata:Farmers_Market_Locations
FRESHFARM Union Market District,Washington,,,,https://www.freshfarm.org/markets,,"1298 5th St NE, Washington, DC 20002",DC,dc_opendata:Farmers_Market_Locations
Arcadia Mobile Market at Deanwood,Washington,,,,https://www.arcadiafood.org,,"Deanwood Recreation Center, 48th Street NE & Minnesota Avenue NE",DC,dc_opendata:Farmers_Market_Locations
Woodridge Market,Washington,,,,https://dcsquared.org/dc%c2%b2-markets/,,"1803 Rhode Island Ave NE, Washington, DC 20018",DC,dc_opendata:Farmers_Market_Locations
Eastern Market (SAT & SUN),Washington,,,,https://www.easternmarket-dc.org,,225 7th St SE,DC,dc_opendata:Farmers_Market_Locations
Farmers Market SW,Washington,,,,https://www.marketswdc.com,,425 M Street SW DC,DC,dc_opendata:Farmers_Market_Locations
FRESHFARM H Street NE,Washington,,,,https://www.freshfarm.org/markets,,"800 13th St NE, Washington, DC 20002",DC,dc_opendata:Farmers_Market_Locations
